Iteration	Posterior	Likelihood	Prior	clock_host	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
5500	-1434.043	-1433.345	-0.6986827	0.6986827	0.03657869	0.9634213	1e-06	0.0365787	1e-06	1e-06	0.963421	1e-06	0.0365787	0.963421
5550	-1456.059	-1455.431	-0.6285203	0.6285203	0.04764359	0.9523564	1e-06	0.0476436	1e-06	1e-06	0.952356	1e-06	0.0476436	0.952356
5600	-1407.117	-1406.477	-0.6401695	0.6401695	0.04843663	0.9515634	1e-06	0.0484366	1e-06	1e-06	0.951563	1e-06	0.0484366	0.951563
5650	-1500.781	-1500.139	-0.6423957	0.6423957	0.04184513	0.9581549	1e-06	0.0418451	1e-06	1e-06	0.958155	1e-06	0.0418451	0.958155
5700	-1406.341	-1405.693	-0.648146	0.648146	0.03696541	0.9630346	1e-06	0.0369654	1e-06	1e-06	0.963035	1e-06	0.0369654	0.963035
5750	-1460.422	-1459.718	-0.7035331	0.7035331	0.04204243	0.9579576	1e-06	0.0420424	1e-06	1e-06	0.957958	1e-06	0.0420424	0.957958
5800	-1364.248	-1363.617	-0.6310211	0.6310211	0.03970642	0.9602936	1e-06	0.0397064	1e-06	1e-06	0.960294	1e-06	0.0397064	0.960294
5850	-1386.847	-1386.21	-0.6369631	0.6369631	0.03763867	0.9623613	1e-06	0.0376387	1e-06	1e-06	0.962361	1e-06	0.0376387	0.962361
5900	-1490.279	-1489.609	-0.6699317	0.6699317	0.04705146	0.9529485	1e-06	0.0470515	1e-06	1e-06	0.952949	1e-06	0.0470515	0.952949
5950	-1457.261	-1456.579	-0.6824842	0.6824842	0.04259075	0.9574092	1e-06	0.0425908	1e-06	1e-06	0.957409	1e-06	0.0425908	0.957409
6000	-1333.065	-1332.468	-0.5973263	0.5973263	0.03475969	0.9652403	1e-06	0.0347597	1e-06	1e-06	0.96524	1e-06	0.0347597	0.96524
